service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Boat-EastBoston-Saturday-Summer-25,0,0,0,0,0,1,0,20250405,20250405
Boat-EastBoston-Weekday-Summer-25,1,1,1,1,1,0,0,20250331,20250404
Boat-F1-Weekday-Fall-24,1,1,1,1,1,0,0,20250305,20250404
Boat-F4-Saturday-Fall-24,0,0,0,0,0,1,0,20250308,20250405
Boat-F4-Sunday-Fall-24,0,0,0,0,0,0,1,20250309,20250330
Boat-F4-Weekday-Fall-24,1,1,1,1,1,0,0,20250305,20250404
Boat-Lynn-Weekday-Summer-25,1,1,1,1,1,0,0,20250331,20250404
CR-AndersonWoburnNorthStationLocal-Snd,0,0,0,0,0,0,1,20250309,20250309
CR-AndersonWoburnNorthStationLocal-Std,0,0,0,0,0,1,0,20250308,20250308
CR-AndersonWoburnNorthStationXSaturday,0,0,0,0,0,1,0,20250308,20250308
CR-AndersonWoburnNorthStationXSunday,0,0,0,0,0,0,1,20250309,20250309
CR-HaverhillNStaMaldenOakGrFall-Std,0,0,0,0,0,1,0,20250308,20250308
CR-HaverhillNStaMaldenOakGrFall-Sunday,0,0,0,0,0,0,1,20250309,20250309
CR-NewburyportBeverlyShuttle-Saturday,0,0,0,0,0,1,0,20250308,20250308
CR-NewburyportBeverlyShuttle-Sunday,0,0,0,0,0,0,1,20250309,20250309
CR-NorthStationSwampscottExpress-Std,0,0,0,0,0,1,0,20250308,20250308
CR-NorthStationSwampscottExpress-Sunday,0,0,0,0,0,0,1,20250309,20250309
CR-NorthStationSwampscottLocal-Saturday,0,0,0,0,0,1,0,20250308,20250308
CR-NorthStationSwampscottLocal-Sunday,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-N-Sa-1-S6561ad1d-HvlBrdVn,0,0,0,0,0,1,0,20250315,20250322
FALL 2024-N-Sa-15-S6561ad1d-HvlBrdVn,0,0,0,0,0,1,0,20250308,20250308
FALL 2024-N-Su-15-S6561ad1d-HvlBrdVn,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-N-Sunday-1-S6561ad1d-HvlBrdVn,0,0,0,0,0,0,1,20250323,20250323
FALL 2024-N-Wdy-1-S6561ad1d-HvlBrdVn,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-NORTHSAT-Saturday-1-S7d8482ee,0,0,0,0,0,1,0,20250315,20250322
FALL 2024-NORTHSAT-Saturday-1-S9d378dcf,0,0,0,0,0,1,0,20250315,20250322
FALL 2024-NORTHSAT-Saturday-15-S72,0,0,0,0,0,1,0,20250308,20250308
FALL 2024-NORTHSAT-Saturday-15-S9f,0,0,0,0,0,1,0,20250308,20250308
FALL 2024-NORTHSUN-Sunday-1,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-NORTHSUN-Sunday-1-S7d8482ee,0,0,0,0,0,0,1,20250323,20250323
FALL 2024-NORTHSUN-Sunday-1-S9d378dcf,0,0,0,0,0,0,1,20250323,20250323
FALL 2024-NORTHSUN-Sunday-15-S7d8482ee,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-NORTHSUN-Sunday-15-S9d378dcf,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-NORTHWKD-Weekday-1,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-NORTHWKD-Weekday-1-S7d8482ee,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-NORTHWKD-Weekday-1-S9d378dcf,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-SOUTHSUN-Sunday-1,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-SOUTHSUN-Sunday-1-S85407dc6,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-SOUTHSUN-Sunday-1-S859962ef,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-SOUTHSUN-Sunday-1-Sb0e4ed14,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-SOUTHSUN-Sunday-1-Sb7371956,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-SOUTHSUN-Sunday-1-Sc9a3b080,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-SOUTHSUN-Sunday-1-Scbbf1ea5,0,0,0,0,0,0,1,20250309,20250309
FALL 2024-SOUTHWKD-Weekday-1,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-SOUTHWKD-Weekday-1-S85407dc6,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-SOUTHWKD-Weekday-1-S859962ef,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-SOUTHWKD-Weekday-1-Sb7371956,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-SOUTHWKD-Weekday-1-Sc9a3b080,1,1,1,1,1,0,0,20250305,20250321
FALL 2024-SOUTHWKD-Weekday-1-Scbbf1ea5,1,1,1,1,1,0,0,20250305,20250321
